storm_id,usa_atcf_id,geoid,DATE,PRCPpred
Florence-2018,AL062018,37001020100,2018-08-25,0
Florence-2018,AL062018,37001020200,2018-08-25,0
Florence-2018,AL062018,37001020300,2018-08-25,0
Florence-2018,AL062018,37001020400,2018-08-25,0
Florence-2018,AL062018,37001020501,2018-08-25,0
Florence-2018,AL062018,37001020502,2018-08-25,0
Florence-2018,AL062018,37001020601,2018-08-25,0
Florence-2018,AL062018,37001020602,2018-08-25,0
Florence-2018,AL062018,37001020701,2018-08-25,0
Florence-2018,AL062018,37001020702,2018-08-25,0
Florence-2018,AL062018,37001020801,2018-08-25,0
Florence-2018,AL062018,37001020802,2018-08-25,0
Florence-2018,AL062018,37001020901,2018-08-25,0
Florence-2018,AL062018,37001020902,2018-08-25,0
Florence-2018,AL062018,37001021000,2018-08-25,0
Florence-2018,AL062018,37001021101,2018-08-25,0
Florence-2018,AL062018,37001021102,2018-08-25,0
Florence-2018,AL062018,37001021201,2018-08-25,0
Florence-2018,AL062018,37001021204,2018-08-25,0
Florence-2018,AL062018,37001021205,2018-08-25,0
Florence-2018,AL062018,37001021206,2018-08-25,0
Florence-2018,AL062018,37001021207,2018-08-25,0
Florence-2018,AL062018,37001021300,2018-08-25,0
Florence-2018,AL062018,37001021400,2018-08-25,0
Florence-2018,AL062018,37001021500,2018-08-25,0
Florence-2018,AL062018,37001021600,2018-08-25,0
Florence-2018,AL062018,37001021701,2018-08-25,0
Florence-2018,AL062018,37001021702,2018-08-25,0
Florence-2018,AL062018,37001021703,2018-08-25,0
Florence-2018,AL062018,37001021801,2018-08-25,0
Florence-2018,AL062018,37001021802,2018-08-25,0
Florence-2018,AL062018,37001021803,2018-08-25,0
Florence-2018,AL062018,37001021901,2018-08-25,0
Florence-2018,AL062018,37001021902,2018-08-25,0
Florence-2018,AL062018,37001022001,2018-08-25,0
Florence-2018,AL062018,37001022002,2018-08-25,0
Florence-2018,AL062018,37003040100,2018-08-25,0
Florence-2018,AL062018,37003040200,2018-08-25,0
Florence-2018,AL062018,37003040300,2018-08-25,0
Florence-2018,AL062018,37003040400,2018-08-25,0
Florence-2018,AL062018,37003040500,2018-08-25,0
Florence-2018,AL062018,37003040600,2018-08-25,0
Florence-2018,AL062018,37003040700,2018-08-25,0
Florence-2018,AL062018,37005950100,2018-08-25,0
Florence-2018,AL062018,37005950200,2018-08-25,0
Florence-2018,AL062018,37005950300,2018-08-25,0
Florence-2018,AL062018,37007920100,2018-08-25,0
Florence-2018,AL062018,37007920200,2018-08-25,0
Florence-2018,AL062018,37007920300,2018-08-25,0
Florence-2018,AL062018,37007920400,2018-08-25,0
Florence-2018,AL062018,37007920500,2018-08-25,0
Florence-2018,AL062018,37007920600,2018-08-25,0
Florence-2018,AL062018,37009970200,2018-08-25,0
Florence-2018,AL062018,37009970300,2018-08-25,0
Florence-2018,AL062018,37009970400,2018-08-25,0
Florence-2018,AL062018,37009970500,2018-08-25,0
Florence-2018,AL062018,37009970700,2018-08-25,0
Florence-2018,AL062018,37009970800,2018-08-25,0
Florence-2018,AL062018,37011930100,2018-08-25,0
Florence-2018,AL062018,37011930200,2018-08-25,0
Florence-2018,AL062018,37011930301,2018-08-25,0
Florence-2018,AL062018,37011930302,2018-08-25,0
Florence-2018,AL062018,37011930400,2018-08-25,0
Florence-2018,AL062018,37013930100,2018-08-25,0
Florence-2018,AL062018,37013930200,2018-08-25,0
Florence-2018,AL062018,37013930300,2018-08-25,0
Florence-2018,AL062018,37013930400,2018-08-25,0
Florence-2018,AL062018,37013930501,2018-08-25,0
Florence-2018,AL062018,37013930502,2018-08-25,0
Florence-2018,AL062018,37013930600,2018-08-25,0
Florence-2018,AL062018,37013930700,2018-08-25,0
Florence-2018,AL062018,37013930800,2018-08-25,0
Florence-2018,AL062018,37013930900,2018-08-25,0
Florence-2018,AL062018,37013931000,2018-08-25,0
Florence-2018,AL062018,37015960100,2018-08-25,0
Florence-2018,AL062018,37015960200,2018-08-25,1.3756906836500562
Florence-2018,AL062018,37015960300,2018-08-25,1.2339989099040587
Florence-2018,AL062018,37015960400,2018-08-25,1.9065455136063707
Florence-2018,AL062018,37017950100,2018-08-25,0
Florence-2018,AL062018,37017950200,2018-08-25,0
Florence-2018,AL062018,37017950300,2018-08-25,0
Florence-2018,AL062018,37017950400,2018-08-25,0
Florence-2018,AL062018,37017950500,2018-08-25,0
Florence-2018,AL062018,37017950600,2018-08-25,0
Florence-2018,AL062018,37019020101,2018-08-25,0.9600208081804343
Florence-2018,AL062018,37019020102,2018-08-25,0.9429186928323404
Florence-2018,AL062018,37019020103,2018-08-25,0.8012237586061104
Florence-2018,AL062018,37019020104,2018-08-25,0.9612693568111617
Florence-2018,AL062018,37019020201,2018-08-25,0.842499534301796
Florence-2018,AL062018,37019020202,2018-08-25,0
Florence-2018,AL062018,37019020203,2018-08-25,0
Florence-2018,AL062018,37019020204,2018-08-25,0
Florence-2018,AL062018,37019020303,2018-08-25,0
Florence-2018,AL062018,37019020304,2018-08-25,0
Florence-2018,AL062018,37019020305,2018-08-25,0
Florence-2018,AL062018,37019020306,2018-08-25,0
Florence-2018,AL062018,37019020307,2018-08-25,0
Florence-2018,AL062018,37019020308,2018-08-25,0
Florence-2018,AL062018,37019020309,2018-08-25,0
Florence-2018,AL062018,37019020310,2018-08-25,0
Florence-2018,AL062018,37019020402,2018-08-25,0
Florence-2018,AL062018,37019020403,2018-08-25,0
Florence-2018,AL062018,37019020404,2018-08-25,0
Florence-2018,AL062018,37019020405,2018-08-25,0
Florence-2018,AL062018,37019020504,2018-08-25,0
Florence-2018,AL062018,37019020505,2018-08-25,0
Florence-2018,AL062018,37019020506,2018-08-25,0
Florence-2018,AL062018,37019020507,2018-08-25,0
Florence-2018,AL062018,37019020508,2018-08-25,0
Florence-2018,AL062018,37019020509,2018-08-25,0
Florence-2018,AL062018,37019020510,2018-08-25,0
Florence-2018,AL062018,37019020511,2018-08-25,0
Florence-2018,AL062018,37019020512,2018-08-25,0
Florence-2018,AL062018,37019020601,2018-08-25,0
Florence-2018,AL062018,37019020602,2018-08-25,0.7399840175935194
Florence-2018,AL062018,37019020603,2018-08-25,0
Florence-2018,AL062018,37019990100,2018-08-25,0
Florence-2018,AL062018,37021000100,2018-08-25,0
Florence-2018,AL062018,37021000200,2018-08-25,0
Florence-2018,AL062018,37021000300,2018-08-25,0
Florence-2018,AL062018,37021000400,2018-08-25,0
Florence-2018,AL062018,37021000500,2018-08-25,0
Florence-2018,AL062018,37021000600,2018-08-25,0
Florence-2018,AL062018,37021000700,2018-08-25,0
Florence-2018,AL062018,37021000800,2018-08-25,0
Florence-2018,AL062018,37021000900,2018-08-25,0
Florence-2018,AL062018,37021001000,2018-08-25,0
Florence-2018,AL062018,37021001100,2018-08-25,0
Florence-2018,AL062018,37021001200,2018-08-25,0
Florence-2018,AL062018,37021001300,2018-08-25,0
Florence-2018,AL062018,37021001400,2018-08-25,0
Florence-2018,AL062018,37021001500,2018-08-25,0
Florence-2018,AL062018,37021001600,2018-08-25,0
Florence-2018,AL062018,37021001700,2018-08-25,0
Florence-2018,AL062018,37021001801,2018-08-25,0
Florence-2018,AL062018,37021001802,2018-08-25,0
Florence-2018,AL062018,37021001900,2018-08-25,0
Florence-2018,AL062018,37021002000,2018-08-25,0
Florence-2018,AL062018,37021002101,2018-08-25,0
Florence-2018,AL062018,37021002102,2018-08-25,0
Florence-2018,AL062018,37021002203,2018-08-25,0
Florence-2018,AL062018,37021002204,2018-08-25,0
Florence-2018,AL062018,37021002205,2018-08-25,0
Florence-2018,AL062018,37021002206,2018-08-25,0
Florence-2018,AL062018,37021002301,2018-08-25,0
Florence-2018,AL062018,37021002302,2018-08-25,0
Florence-2018,AL062018,37021002401,2018-08-25,0
Florence-2018,AL062018,37021002402,2018-08-25,0
Florence-2018,AL062018,37021002503,2018-08-25,0
Florence-2018,AL062018,37021002504,2018-08-25,0
Florence-2018,AL062018,37021002505,2018-08-25,0
Florence-2018,AL062018,37021002506,2018-08-25,0
Florence-2018,AL062018,37021002603,2018-08-25,0
Florence-2018,AL062018,37021002604,2018-08-25,0
Florence-2018,AL062018,37021002605,2018-08-25,0
Florence-2018,AL062018,37021002606,2018-08-25,0
Florence-2018,AL062018,37021002607,2018-08-25,0
Florence-2018,AL062018,37021002701,2018-08-25,0
Florence-2018,AL062018,37021002702,2018-08-25,0
