storm_id,usa_atcf_id,geoid,closest_date,storm_dist
Harvey-2017,AL092017,22001960100,2017-08-30T19:45:00Z,83.5546721014683
Harvey-2017,AL092017,22001960200,2017-08-30T19:30:00Z,67.9584116747828
Harvey-2017,AL092017,22001960300,2017-08-30T18:00:00Z,57.8913698924689
Harvey-2017,AL092017,22001960400,2017-08-30T18:15:00Z,70.6408376477428
Harvey-2017,AL092017,22001960500,2017-08-30T19:15:00Z,89.0224816084687
Harvey-2017,AL092017,22001960600,2017-08-30T18:30:00Z,90.5534780390745
Harvey-2017,AL092017,22001960700,2017-08-30T18:30:00Z,88.7358072709292
Harvey-2017,AL092017,22001960800,2017-08-30T18:00:00Z,81.5124373081857
Harvey-2017,AL092017,22001960900,2017-08-30T17:45:00Z,80.4297394265084
Harvey-2017,AL092017,22001961000,2017-08-30T17:45:00Z,82.8170524887825
Harvey-2017,AL092017,22001961100,2017-08-30T16:45:00Z,73.516140333241
Harvey-2017,AL092017,22001961200,2017-08-30T17:30:00Z,87.4579632579304
Harvey-2017,AL092017,22003950100,2017-08-30T19:00:00Z,9.29307476426444
Harvey-2017,AL092017,22003950200,2017-08-30T21:00:00Z,23.567996825325
Harvey-2017,AL092017,22003950300,2017-08-30T20:45:00Z,23.7768609452244
Harvey-2017,AL092017,22003950400,2017-08-30T19:30:00Z,27.1520104327711
Harvey-2017,AL092017,22003950500,2017-08-30T18:15:00Z,27.8430389766892
Harvey-2017,AL092017,22005030101,2017-08-30T23:30:00Z,196.621253445993
Harvey-2017,AL092017,22005030102,2017-08-30T23:15:00Z,199.424329053158
Harvey-2017,AL092017,22005030103,2017-08-30T23:15:00Z,202.360335929515
Harvey-2017,AL092017,22005030203,2017-08-30T23:15:00Z,188.986377168483
Harvey-2017,AL092017,22005030204,2017-08-30T23:15:00Z,192.628743592282
Harvey-2017,AL092017,22005030205,2017-08-30T23:00:00Z,192.460715861879
Harvey-2017,AL092017,22005030206,2017-08-30T23:15:00Z,195.497591452027
Harvey-2017,AL092017,22005030300,2017-08-30T22:45:00Z,194.785798574226
Harvey-2017,AL092017,22005030401,2017-08-30T23:00:00Z,197.628080909178
Harvey-2017,AL092017,22005030402,2017-08-30T22:45:00Z,198.935957427812
Harvey-2017,AL092017,22005030500,2017-08-30T23:00:00Z,204.718275028126
Harvey-2017,AL092017,22005030600,2017-08-30T22:45:00Z,203.105817638509
Harvey-2017,AL092017,22005030900,2017-08-30T22:00:00Z,198.515773321372
Harvey-2017,AL092017,22005031000,2017-08-30T22:00:00Z,201.721506273648
Harvey-2017,AL092017,22007050100,2017-08-30T21:30:00Z,199.309182237133
Harvey-2017,AL092017,22007050200,2017-08-30T20:30:00Z,192.934164297062
Harvey-2017,AL092017,22007050300,2017-08-30T21:15:00Z,204.004888393176
Harvey-2017,AL092017,22007050400,2017-08-30T21:00:00Z,208.505731990303
Harvey-2017,AL092017,22007050500,2017-08-30T20:45:00Z,216.573390560396
Harvey-2017,AL092017,22007050600,2017-08-30T20:00:00Z,219.371104146338
Harvey-2017,AL092017,22009030100,2017-08-31T01:00:00Z,64.4838209368955
Harvey-2017,AL092017,22009030200,2017-08-31T01:00:00Z,39.0738422702361
Harvey-2017,AL092017,22009030300,2017-08-31T00:30:00Z,45.8324037558866
Harvey-2017,AL092017,22009030400,2017-08-31T00:30:00Z,53.4188611622298
Harvey-2017,AL092017,22009030500,2017-08-31T00:00:00Z,54.6559362314846
Harvey-2017,AL092017,22009030600,2017-08-30T23:15:00Z,54.0617255633299
Harvey-2017,AL092017,22009030700,2017-08-30T23:45:00Z,63.4224609150833
Harvey-2017,AL092017,22009030800,2017-08-30T23:45:00Z,71.6540168826044
Harvey-2017,AL092017,22009030900,2017-08-31T00:30:00Z,81.8039612887665
Harvey-2017,AL092017,22011960100,2017-08-30T19:00:00Z,10.68159373089
Harvey-2017,AL092017,22011960200,2017-08-30T18:45:00Z,26.8483444665703
Harvey-2017,AL092017,22011960300,2017-08-30T19:00:00Z,30.0414454641538
Harvey-2017,AL092017,22011960400,2017-08-30T19:00:00Z,27.6038939270958
Harvey-2017,AL092017,22011960500,2017-08-30T19:00:00Z,31.7990362890342
Harvey-2017,AL092017,22011960600,2017-08-30T17:15:00Z,43.9353430129067
Harvey-2017,AL092017,22011960700,2017-08-30T16:45:00Z,12.0229444047102
Harvey-2017,AL092017,22013970100,2017-08-31T07:45:00Z,97.5078034140931
Harvey-2017,AL092017,22013970200,2017-08-31T07:00:00Z,105.687705784842
Harvey-2017,AL092017,22013970300,2017-08-31T05:00:00Z,114.424500761568
Harvey-2017,AL092017,22013970400,2017-08-31T05:00:00Z,99.4358552780799
Harvey-2017,AL092017,22013970500,2017-08-31T05:45:00Z,80.5744734724961
Harvey-2017,AL092017,22015010400,2017-08-31T05:00:00Z,159.75402405352
Harvey-2017,AL092017,22015010500,2017-08-31T05:00:00Z,159.083212601364
Harvey-2017,AL092017,22015010601,2017-08-31T05:15:00Z,156.143818944379
Harvey-2017,AL092017,22015010602,2017-08-31T05:00:00Z,157.715299795872
Harvey-2017,AL092017,22015010701,2017-08-31T05:00:00Z,156.388311902284
Harvey-2017,AL092017,22015010702,2017-08-31T05:00:00Z,155.13707197033
Harvey-2017,AL092017,22015010801,2017-08-31T05:00:00Z,156.189309602092
Harvey-2017,AL092017,22015010804,2017-08-31T04:45:00Z,150.046117501722
Harvey-2017,AL092017,22015010805,2017-08-31T04:45:00Z,153.073745144867
Harvey-2017,AL092017,22015010806,2017-08-31T05:00:00Z,152.265266254587
Harvey-2017,AL092017,22015010900,2017-08-31T05:00:00Z,151.845448925717
Harvey-2017,AL092017,22015011001,2017-08-31T04:45:00Z,143.536950049251
Harvey-2017,AL092017,22015011002,2017-08-31T04:45:00Z,140.234501732995
